chr1	x1	x2	chr2	y1	y2	color	o	e_bl	e_donut	e_h	e_v	fdr_bl	fdr_donut	fdr_h	fdr_v	num_collapsed	centroid1	centroid2	radius
10	101150000	101160000	10	101370000	101380000	0,255,255	53	23.2356	16.1686	17.7055	21.2416	0.000318202520575	8.04406010493e-07	1.74780856652e-06	0.000404690896901	1	101155000	101375000	0
10	101190000	101200000	10	101370000	101380000	0,255,255	43	16.0978	15.5116	17.7305	19.4902	0.00213776152621	1.97965874694e-05	0.00265096100373	0.00253917961535	2	101195000	101365000	10000.0
10	102100000	102105000	10	102190000	102195000	0,255,255	25	5.18881	5.79011	6.78963	6.44708	0.000347823199315	0.000184086001055	0.00468667961483	0.00501165958075	2	102102500	102195000	2500.0
10	103990000	104000000	10	104110000	104120000	0,255,255	93	32.3562	32.4479	40.549	34.5913	3.77861686679e-10	6.48555188538e-10	8.88558880003e-06	6.28365217911e-10	5	103997000	104111000	12649.1106407
10	105370000	105380000	10	105440000	105450000	0,255,255	62	29.2898	28.5312	29.6942	37.5007	0.000215943165019	0.000260734815761	0.000336979805865	0.0407343664237	2	105370000	105445000	5000.0
10	105470000	105475000	10	105620000	105625000	0,255,255	25	6.57478	5.87577	7.45525	7.40877	0.00377341149317	0.000184086001055	0.00468667961483	0.00501165958075	2	105475000	105620000	3535.53390593
10	106050000	106060000	10	106100000	106110000	0,255,255	70	26.8465	22.2906	22.8338	29.4393	1.2372066335e-06	3.28639419494e-10	6.93225476823e-10	1.97545338943e-06	1	106055000	106105000	0
10	111640000	111650000	10	111890000	111900000	0,255,255	35	12.3598	9.49367	12.5898	9.83032	0.000371912078341	6.3072951414e-06	0.0119766130301	1.10660801784e-05	1	111645000	111895000	0
10	115550000	115560000	10	115860000	115870000	0,255,255	47	17.1019	15.425	15.8008	18.6863	0.000156808450139	5.25488237855e-07	0.000182222967263	0.000167931659527	1	115555000	115865000	0
10	118560000	118570000	10	118930000	118940000	0,255,255	54	22.6678	18.2847	19.17	25.5607	0.000168130464582	3.29542166348e-07	6.9188881202e-07	0.0203097749697	4	118557500	118932500	12747.548784
10	119250000	119260000	10	120000000	120010000	0,255,255	31	8.40443	7.60862	8.53167	10.7543	0.000406787177944	6.08505298117e-06	0.000494256766835	0.00947881358402	1	119255000	120005000	0
10	120320000	120330000	10	120480000	120490000	0,255,255	40	13.1456	12.9645	14.4233	14.6673	0.000341759057003	0.00022519598083	0.000400575405718	0.000397655395184	1	120325000	120485000	0
10	121500000	121510000	10	121590000	121600000	0,255,255	45	15.547	16.6666	19.163	17.7741	5.56620348758e-06	0.000397145622995	0.00070009896665	0.000666849090993	2	121510000	121605000	11180.3398875
10	125340000	125345000	10	125725000	125730000	0,255,255	26	4.73235	4.13169	6.23567	4.90778	1.29355692128e-05	1.25326411902e-05	0.00189325840596	1.94169867222e-05	2	125342500	125725000	2500.0
10	125750000	125760000	10	126070000	126080000	0,255,255	42	12.6398	10.8126	13.9389	12.1293	7.04232151856e-05	3.99502554608e-07	8.71797278271e-05	9.58206264937e-07	2	125750000	126075000	5000.0
10	129700000	129710000	10	129800000	129810000	0,255,255	62	27.5316	24.5723	35.0653	24.18	0.000215943165019	3.6613995973e-07	0.0422381267388	6.32042636693e-07	2	129705000	129800000	5000.0
10	134270000	134280000	10	134450000	134460000	0,255,255	39	13.6088	11.2017	13.7759	14.3826	0.000700337226215	6.85732215699e-06	0.000833965605069	0.000808572841599	1	134275000	134455000	0
10	15470000	15480000	10	15760000	15770000	0,255,255	41	11.6182	11.7437	15.1449	12.7465	1.90300308472e-06	1.0695045781e-06	0.000187493848732	0.000193032049403	2	15480000	15765000	5000.0
10	16885000	16890000	10	17295000	17300000	0,255,255	24	5.14843	4.836	5.35123	6.32446	0.000848970503087	8.90620107742e-05	0.00168137712768	0.0106661263427	1	16887500	17297500	0
10	21560000	21570000	10	21780000	21790000	0,255,255	51	14.8307	13.1454	17.5011	14.5641	2.0119333092e-08	1.10084586062e-08	9.35674878061e-06	2.39519669011e-08	2	21570000	21785000	5000.0
10	28950000	28960000	10	29270000	29280000	0,255,255	40	14.4763	14.0581	15.2818	16.1312	0.000341759057003	0.00022519598083	0.000400575405718	0.0147862436041	3	28958333	29278333	7453.559925
10	31070000	31080000	10	31310000	31320000	0,255,255	36	13.826	11.9322	13.9881	11.3631	0.00519918895179	0.000101444624972	0.00621026993875	0.000217197909342	1	31075000	31315000	0
10	35400000	35410000	10	35500000	35510000	0,255,255	48	20.5345	17.968	19.7069	20.1129	0.00567595535364	4.62172698539e-05	0.00702723613263	0.00758803886221	2	35410000	35505000	5000.0
10	3820000	3830000	10	3930000	3940000	0,255,255	46	20.0955	16.5678	18.6556	15.4052	0.0149104704779	0.000195241656315	0.000353080795917	2.87112253587e-06	1	3825000	3935000	0
10	47025000	47030000	10	47060000	47065000	0,255,255	39	8.65768	7.15054	7.79082	8.73033	1.34457163447e-07	4.67008344394e-10	5.45456128289e-10	5.02460768503e-07	2	47022500	47060000	5590.16994375
10	49750000	49760000	10	49860000	49870000	0,255,255	45	19.5268	17.4087	20.2746	20.6704	0.000604963727335	0.000397145622995	0.0312819877732	0.0324446854604	2	49760000	49865000	5000.0
10	54070000	54080000	10	54240000	54250000	0,255,255	38	16.0924	14.3372	18.263	14.6976	0.0316808126778	0.00099504935539	0.041216331636	0.00163354528423	2	54070000	54250000	7071.06781187
10	5480000	5490000	10	5660000	5670000	0,255,255	65	20.1197	16.6869	21.3106	20.7797	4.40886115364e-08	7.73969317034e-12	4.65152528411e-08	6.04022279812e-08	2	5490000	5665000	5000.0
10	61870000	61880000	10	62190000	62200000	0,255,255	29	5.59707	6.83163	9.4251	8.85561	2.11197543625e-06	6.30405711959e-05	0.00295801245071	0.0028670715836	1	61875000	62195000	0
10	63800000	63810000	10	63990000	64000000	0,255,255	38	11.6767	10.5942	12.5922	13.8747	2.82759634924e-05	1.70421899592e-05	0.00168682537657	0.00163354528423	1	63805000	63995000	0
10	69845000	69850000	10	69915000	69920000	0,255,255	23	4.88273	4.71659	5.85565	5.41581	0.000270274672855	0.000181284874154	0.00356391684093	0.00298816936146	1	69847500	69917500	0
10	70750000	70760000	10	70850000	70860000	0,255,255	43	19.2364	17.3653	20.0266	16.5515	0.00213776152621	0.00155260573823	0.0752885330608	0.00253917961535	2	70760000	70855000	5000.0
10	70995000	71000000	10	71145000	71150000	0,255,255	20	5.54981	4.82756	5.86706	5.90798	0.0284996399374	0.00406095913597	0.0388705917543	0.0374379625821	2	70997500	71150000	2500.0
10	71170000	71180000	10	71260000	71270000	0,255,255	68	29.8576	23.0906	21.0373	29.5171	4.93639967617e-06	2.12482117064e-09	3.98165808646e-09	7.57066677977e-06	2	71180000	71265000	5000.0
10	71270000	71280000	10	71390000	71400000	0,255,255	53	23.0938	18.7843	19.7582	19.8997	0.000318202520575	8.04406010493e-07	0.000378049079327	0.000404690896901	1	71275000	71395000	0
10	71560000	71570000	10	71660000	71670000	0,255,255	50	25.743	23.2792	28.2816	23.8023	0.0617436578652	0.00171010673404	0.0981906724621	0.00247667252882	2	71555000	71670000	11180.3398875
10	72220000	72230000	10	72300000	72310000	0,255,255	57	23.622	20.4051	23.5173	18.818	2.07370257319e-05	1.74535486553e-05	2.38964313404e-05	4.5785615613e-08	3	72228333	72298333	13743.6854187
10	72310000	72320000	10	72510000	72520000	0,255,255	32	9.85871	8.81877	10.791	9.4784	0.00385702139337	0.000123159742075	0.00469938133577	0.000213368666341	1	72315000	72515000	0
10	72570000	72580000	10	72640000	72650000	0,255,255	61	29.7404	23.955	28.1503	25.998	0.000391102306922	8.39107132503e-07	0.000612663058164	0.000643171092668	1	72575000	72645000	0
10	72660000	72670000	10	73040000	73050000	0,255,255	41	16.9366	10.8564	13.5877	13.8886	0.00685225139665	1.0695045781e-06	0.000187493848732	0.000193032049403	1	72665000	73045000	0
10	75290000	75300000	10	75400000	75410000	0,255,255	52	16.9094	17.3394	21.0967	18.2025	3.70455273489e-06	1.90630109483e-06	0.000709214097583	3.77157855733e-06	3	75291666	75398333	13743.6854187
10	78935000	78940000	10	79400000	79405000	0,255,255	22	4.91448	4.56181	6.2034	4.27953	0.000701645994168	0.000483406601112	0.00779619064103	0.000936185299332	1	78937500	79402500	0
10	7910000	7920000	10	9250000	9260000	0,255,255	22	2.42645	3.65812	4.36678	4.75324	3.93282443419e-09	1.10093883633e-05	0.000523773902424	0.000500628363517	1	7915000	9255000	0
10	81150000	81160000	10	81220000	81230000	0,255,255	65	28.5577	30.8858	35.8177	29.8434	3.51471474763e-05	4.11984066904e-05	0.0130100094126	5.45161908827e-05	3	81141666	81231666	14907.11985
10	86025000	86030000	10	86300000	86305000	0,255,255	25	6.84815	6.19021	7.15101	7.52022	0.00377341149317	0.000184086001055	0.00468667961483	0.00501165958075	2	86025000	86302500	2500.0
10	90590000	90600000	10	90690000	90700000	0,255,255	70	19.7965	19.7211	24.7068	19.4354	6.68229634729e-10	3.28639419494e-10	2.10155987603e-06	1.07579325727e-13	3	90598333	90688333	7453.559925
10	90690000	90700000	10	90740000	90750000	0,255,255	48	19.252	18.2566	19.7353	18.6969	7.77350050929e-05	4.62172698539e-05	0.00702723613263	8.7021335618e-05	1	90695000	90745000	0
10	90690000	90700000	10	90970000	90980000	0,255,255	33	8.73161	8.32323	8.66355	11.9468	6.38158676798e-05	4.80712409603e-05	8.45963797438e-05	0.00235446889302	1	90695000	90975000	0
10	90790000	90800000	10	90970000	90980000	0,255,255	41	14.8147	12.4846	14.3109	16.6586	0.00015635152378	0.000100551108803	0.000187493848732	0.00831708900128	3	90788333	90971666	7453.559925
10	94450000	94460000	10	94600000	94610000	0,255,255	49	14.6901	13.7628	19.9321	11.4212	1.38777399729e-07	7.93014587297e-08	0.00424538831342	4.46135976748e-10	2	94455000	94595000	10000.0
10	97000000	97010000	10	97120000	97130000	0,255,255	69	22.563	20.9258	21.1371	27.7639	1.54667896225e-09	8.16715255192e-10	1.61912081221e-09	3.88983411627e-06	1	97005000	97125000	0
10	97190000	97200000	10	97360000	97370000	0,255,255	61	22.6511	20.6253	24.6935	27.7797	1.09772267283e-06	8.39107132503e-07	0.000612663058164	0.000643171092668	3	97195000	97365000	10000.0
10	97450000	97460000	10	97600000	97610000	0,255,255	63	21.1204	20.0756	21.5321	23.2995	2.18044804482e-07	1.61867088676e-07	2.43957618444e-07	2.81586250112e-07	3	97455000	97611666	16666.6666667
10	98830000	98840000	10	98960000	98970000	0,255,255	52	24.5849	22.9153	27.6863	25.1624	0.00059734953612	0.000527641418875	0.0468242855786	0.0473390302157	2	98835000	98970000	5000.0
10	99670000	99680000	10	99800000	99810000	0,255,255	38	15.7013	14.6198	14.8033	15.5536	0.0316808126778	0.00099504935539	0.00168682537657	0.00163354528423	2	99675000	99800000	5000.0
1	100920000	100930000	1	101330000	101340000	0,255,255	32	6.14332	4.68951	5.16427	7.71498	3.67588922318e-08	9.18295462562e-11	3.65317462426e-08	3.93583536278e-06	3	100931666	101331666	7453.559925
1	101600000	101610000	1	101700000	101710000	0,255,255	52	15.6428	18.0027	20.5477	18.2196	3.70455273489e-06	1.90630109483e-06	0.000709214097583	3.77157855733e-06	1	101605000	101705000	0
1	101600000	101610000	1	101750000	101760000	0,255,255	43	14.6031	12.8433	17.9124	13.9022	3.11733059378e-05	1.97965874694e-05	0.00265096100373	3.98110505277e-05	1	101605000	101755000	0
